YearStart,LocationAbbr,LocationDesc,stratum_category,stratum_value,Data_Value,high_risk_obesity,early_warning
2011,AK,Alaska,Age (years),18 - 24,19.8,0,0.0
2012,AK,Alaska,Age (years),18 - 24,9.0,0,0.0
2013,AK,Alaska,Age (years),18 - 24,12.6,0,0.0
2014,AK,Alaska,Age (years),18 - 24,14.0,0,0.0
2015,AK,Alaska,Age (years),18 - 24,19.2,0,0.0
2016,AK,Alaska,Age (years),18 - 24,15.1,0,0.0
2017,AK,Alaska,Age (years),18 - 24,23.0,0,0.0
2018,AK,Alaska,Age (years),18 - 24,21.2,0,0.0
2019,AK,Alaska,Age (years),18 - 24,15.4,0,0.0
2020,AK,Alaska,Age (years),18 - 24,21.0,0,0.0
2021,AK,Alaska,Age (years),18 - 24,26.1,0,0.0
2022,AK,Alaska,Age (years),18 - 24,24.5,0,0.0
2023,AK,Alaska,Age (years),18 - 24,22.8,0,0.0
2024,AK,Alaska,Age (years),18 - 24,19.9,0,
2011,AK,Alaska,Age (years),25 - 34,23.5,0,0.0
2012,AK,Alaska,Age (years),25 - 34,20.1,0,0.0
2013,AK,Alaska,Age (years),25 - 34,28.1,0,0.0
2014,AK,Alaska,Age (years),25 - 34,28.0,0,0.0
2015,AK,Alaska,Age (years),25 - 34,29.8,0,0.0
2016,AK,Alaska,Age (years),25 - 34,31.2,0,0.0
2017,AK,Alaska,Age (years),25 - 34,31.4,0,0.0
2018,AK,Alaska,Age (years),25 - 34,29.3,0,0.0
2019,AK,Alaska,Age (years),25 - 34,26.8,0,0.0
2020,AK,Alaska,Age (years),25 - 34,31.4,0,0.0
2021,AK,Alaska,Age (years),25 - 34,32.2,0,0.0
2022,AK,Alaska,Age (years),25 - 34,29.5,0,0.0
2023,AK,Alaska,Age (years),25 - 34,31.8,0,1.0
2024,AK,Alaska,Age (years),25 - 34,34.0,1,
2011,AK,Alaska,Age (years),35 - 44,29.5,0,0.0
2012,AK,Alaska,Age (years),35 - 44,30.3,0,0.0
2013,AK,Alaska,Age (years),35 - 44,33.5,0,1.0
2014,AK,Alaska,Age (years),35 - 44,33.6,1,
2015,AK,Alaska,Age (years),35 - 44,33.1,0,1.0
2016,AK,Alaska,Age (years),35 - 44,40.3,1,
2017,AK,Alaska,Age (years),35 - 44,41.5,1,
2018,AK,Alaska,Age (years),35 - 44,29.8,0,1.0
2019,AK,Alaska,Age (years),35 - 44,35.9,1,
2020,AK,Alaska,Age (years),35 - 44,32.4,0,0.0
2021,AK,Alaska,Age (years),35 - 44,33.3,0,1.0
2022,AK,Alaska,Age (years),35 - 44,36.0,1,
2023,AK,Alaska,Age (years),35 - 44,39.2,1,
2024,AK,Alaska,Age (years),35 - 44,36.9,1,
2011,AK,Alaska,Age (years),45 - 54,29.2,0,0.0
2012,AK,Alaska,Age (years),45 - 54,32.6,0,0.0
2013,AK,Alaska,Age (years),45 - 54,29.8,0,1.0
2014,AK,Alaska,Age (years),45 - 54,35.2,1,
2015,AK,Alaska,Age (years),45 - 54,30.8,0,1.0
2016,AK,Alaska,Age (years),45 - 54,35.0,1,
2017,AK,Alaska,Age (years),45 - 54,37.7,1,
2018,AK,Alaska,Age (years),45 - 54,34.2,1,
2019,AK,Alaska,Age (years),45 - 54,42.3,1,
2020,AK,Alaska,Age (years),45 - 54,38.2,1,
2021,AK,Alaska,Age (years),45 - 54,42.9,1,
2022,AK,Alaska,Age (years),45 - 54,41.8,1,
2023,AK,Alaska,Age (years),45 - 54,43.9,1,
2024,AK,Alaska,Age (years),45 - 54,39.9,1,
2011,AK,Alaska,Age (years),55 - 64,33.4,0,0.0
2012,AK,Alaska,Age (years),55 - 64,32.3,0,0.0
2013,AK,Alaska,Age (years),55 - 64,33.1,0,1.0
2014,AK,Alaska,Age (years),55 - 64,34.5,1,
2015,AK,Alaska,Age (years),55 - 64,30.6,0,0.0
2016,AK,Alaska,Age (years),55 - 64,30.0,0,1.0
2017,AK,Alaska,Age (years),55 - 64,36.2,1,
2018,AK,Alaska,Age (years),55 - 64,33.4,0,0.0
2019,AK,Alaska,Age (years),55 - 64,30.8,0,1.0
2020,AK,Alaska,Age (years),55 - 64,33.7,1,
2021,AK,Alaska,Age (years),55 - 64,34.4,1,
2022,AK,Alaska,Age (years),55 - 64,33.1,0,1.0
2023,AK,Alaska,Age (years),55 - 64,39.0,1,
2024,AK,Alaska,Age (years),55 - 64,40.2,1,
2011,AK,Alaska,Age (years),65 or older,29.3,0,0.0
2012,AK,Alaska,Age (years),65 or older,26.8,0,0.0
2013,AK,Alaska,Age (years),65 or older,30.4,0,0.0
2014,AK,Alaska,Age (years),65 or older,29.6,0,1.0
2015,AK,Alaska,Age (years),65 or older,34.7,1,
2016,AK,Alaska,Age (years),65 or older,35.3,1,
2017,AK,Alaska,Age (years),65 or older,34.8,1,
2018,AK,Alaska,Age (years),65 or older,27.2,0,0.0
2019,AK,Alaska,Age (years),65 or older,30.2,0,0.0
2020,AK,Alaska,Age (years),65 or older,32.7,0,0.0
2021,AK,Alaska,Age (years),65 or older,31.8,0,0.0
2022,AK,Alaska,Age (years),65 or older,28.0,0,0.0
2023,AK,Alaska,Age (years),65 or older,32.7,0,0.0
2024,AK,Alaska,Age (years),65 or older,30.8,0,
2011,AK,Alaska,Education,College graduate,22.1,0,0.0
2012,AK,Alaska,Education,College graduate,24.9,0,0.0
2013,AK,Alaska,Education,College graduate,21.2,0,0.0
2014,AK,Alaska,Education,College graduate,23.4,0,0.0
2015,AK,Alaska,Education,College graduate,26.7,0,0.0
2016,AK,Alaska,Education,College graduate,21.7,0,0.0
2017,AK,Alaska,Education,College graduate,30.7,0,0.0
2018,AK,Alaska,Education,College graduate,24.0,0,0.0
2019,AK,Alaska,Education,College graduate,22.6,0,0.0
2020,AK,Alaska,Education,College graduate,24.1,0,0.0
2021,AK,Alaska,Education,College graduate,28.5,0,0.0
2022,AK,Alaska,Education,College graduate,24.1,0,0.0
2023,AK,Alaska,Education,College graduate,31.9,0,0.0
2024,AK,Alaska,Education,College graduate,30.6,0,
2011,AK,Alaska,Education,High school graduate,33.1,0,0.0
2012,AK,Alaska,Education,High school graduate,25.8,0,0.0
2013,AK,Alaska,Education,High school graduate,33.1,0,0.0
2014,AK,Alaska,Education,High school graduate,28.3,0,0.0
2015,AK,Alaska,Education,High school graduate,28.4,0,0.0
2016,AK,Alaska,Education,High school graduate,27.9,0,0.0
2017,AK,Alaska,Education,High school graduate,30.0,0,0.0
2018,AK,Alaska,Education,High school graduate,30.7,0,0.0
2019,AK,Alaska,Education,High school graduate,27.3,0,1.0
2020,AK,Alaska,Education,High school graduate,34.9,1,
2021,AK,Alaska,Education,High school graduate,35.5,1,
2022,AK,Alaska,Education,High school graduate,34.6,1,
2023,AK,Alaska,Education,High school graduate,35.8,1,
2024,AK,Alaska,Education,High school graduate,33.0,0,
2011,AK,Alaska,Education,Less than high school,28.8,0,0.0
2012,AK,Alaska,Education,Less than high school,23.3,0,0.0
2013,AK,Alaska,Education,Less than high school,28.2,0,0.0
2014,AK,Alaska,Education,Less than high school,32.8,0,0.0
2015,AK,Alaska,Education,Less than high school,30.2,0,0.0
2016,AK,Alaska,Education,Less than high school,32.8,0,1.0
2017,AK,Alaska,Education,Less than high school,37.3,1,
2018,AK,Alaska,Education,Less than high school,30.7,0,0.0
2019,AK,Alaska,Education,Less than high school,32.4,0,0.0
2020,AK,Alaska,Education,Less than high school,29.6,0,0.0
2021,AK,Alaska,Education,Less than high school,26.4,0,0.0
2022,AK,Alaska,Education,Less than high school,33.4,0,0.0
2023,AK,Alaska,Education,Less than high school,32.9,0,1.0
2024,AK,Alaska,Education,Less than high school,36.3,1,
2011,AK,Alaska,Education,Some college or technical school,25.8,0,0.0
2012,AK,Alaska,Education,Some college or technical school,26.9,0,0.0
2013,AK,Alaska,Education,Some college or technical school,29.6,0,1.0
2014,AK,Alaska,Education,Some college or technical school,34.0,1,
2015,AK,Alaska,Education,Some college or technical school,33.0,0,1.0
2016,AK,Alaska,Education,Some college or technical school,39.9,1,
2017,AK,Alaska,Education,Some college or technical school,38.9,1,
2018,AK,Alaska,Education,Some college or technical school,31.8,0,1.0
2019,AK,Alaska,Education,Some college or technical school,38.6,1,
2020,AK,Alaska,Education,Some college or technical school,35.6,1,
2021,AK,Alaska,Education,Some college or technical school,37.1,1,
2022,AK,Alaska,Education,Some college or technical school,36.0,1,
2023,AK,Alaska,Education,Some college or technical school,38.0,1,
2024,AK,Alaska,Education,Some college or technical school,37.4,1,
2011,AK,Alaska,Income,"$15,000 - $24,999",30.2,0,0.0
2012,AK,Alaska,Income,"$15,000 - $24,999",24.2,0,0.0
2013,AK,Alaska,Income,"$15,000 - $24,999",32.7,0,0.0
2014,AK,Alaska,Income,"$15,000 - $24,999",29.6,0,0.0
2015,AK,Alaska,Income,"$15,000 - $24,999",31.0,0,1.0
2016,AK,Alaska,Income,"$15,000 - $24,999",36.3,1,
2017,AK,Alaska,Income,"$15,000 - $24,999",31.8,0,0.0
2018,AK,Alaska,Income,"$15,000 - $24,999",25.2,0,0.0
2019,AK,Alaska,Income,"$15,000 - $24,999",29.3,0,1.0
2020,AK,Alaska,Income,"$15,000 - $24,999",34.7,1,
2021,AK,Alaska,Income,"$15,000 - $24,999",33.9,1,
2022,AK,Alaska,Income,"$15,000 - $24,999",45.0,1,
2023,AK,Alaska,Income,"$15,000 - $24,999",34.3,1,
2024,AK,Alaska,Income,"$15,000 - $24,999",34.4,1,
2011,AK,Alaska,Income,"$25,000 - $34,999",32.2,0,0.0
2012,AK,Alaska,Income,"$25,000 - $34,999",24.0,0,0.0
2013,AK,Alaska,Income,"$25,000 - $34,999",24.5,0,0.0
2014,AK,Alaska,Income,"$25,000 - $34,999",32.9,0,0.0
2015,AK,Alaska,Income,"$25,000 - $34,999",26.0,0,1.0
2016,AK,Alaska,Income,"$25,000 - $34,999",41.5,1,
2017,AK,Alaska,Income,"$25,000 - $34,999",34.5,1,
2018,AK,Alaska,Income,"$25,000 - $34,999",35.4,1,
2019,AK,Alaska,Income,"$25,000 - $34,999",36.1,1,
2020,AK,Alaska,Income,"$25,000 - $34,999",46.4,1,
2021,AK,Alaska,Income,"$25,000 - $34,999",33.0,0,0.0
2022,AK,Alaska,Income,"$25,000 - $34,999",33.3,0,0.0
2023,AK,Alaska,Income,"$25,000 - $34,999",30.4,0,1.0
2024,AK,Alaska,Income,"$25,000 - $34,999",39.1,1,
2011,AK,Alaska,Income,"$35,000 - $49,999",24.5,0,0.0
2012,AK,Alaska,Income,"$35,000 - $49,999",27.3,0,0.0
2013,AK,Alaska,Income,"$35,000 - $49,999",31.7,0,1.0
2014,AK,Alaska,Income,"$35,000 - $49,999",36.0,1,
2015,AK,Alaska,Income,"$35,000 - $49,999",31.7,0,0.0
2016,AK,Alaska,Income,"$35,000 - $49,999",30.1,0,1.0
2017,AK,Alaska,Income,"$35,000 - $49,999",41.4,1,
2018,AK,Alaska,Income,"$35,000 - $49,999",26.7,0,1.0
2019,AK,Alaska,Income,"$35,000 - $49,999",41.6,1,
2020,AK,Alaska,Income,"$35,000 - $49,999",35.3,1,
2021,AK,Alaska,Income,"$35,000 - $49,999",36.7,1,
2022,AK,Alaska,Income,"$35,000 - $49,999",28.5,0,1.0
2023,AK,Alaska,Income,"$35,000 - $49,999",36.0,1,
2024,AK,Alaska,Income,"$35,000 - $49,999",30.4,0,
2011,AK,Alaska,Income,"$50,000 - $74,999",27.8,0,0.0
2012,AK,Alaska,Income,"$50,000 - $74,999",28.4,0,0.0
2013,AK,Alaska,Income,"$50,000 - $74,999",32.3,0,0.0
2014,AK,Alaska,Income,"$50,000 - $74,999",30.2,0,0.0
2015,AK,Alaska,Income,"$50,000 - $74,999",29.0,0,0.0
2016,AK,Alaska,Income,"$50,000 - $74,999",31.2,0,1.0
2017,AK,Alaska,Income,"$50,000 - $74,999",35.9,1,
2018,AK,Alaska,Income,"$50,000 - $74,999",25.1,0,0.0
2019,AK,Alaska,Income,"$50,000 - $74,999",30.8,0,0.0
2020,AK,Alaska,Income,"$50,000 - $74,999",30.4,0,1.0
2021,AK,Alaska,Income,"$50,000 - $74,999",36.2,1,
2022,AK,Alaska,Income,"$50,000 - $74,999",34.8,1,
2023,AK,Alaska,Income,"$50,000 - $74,999",37.2,1,
2024,AK,Alaska,Income,"$50,000 - $74,999",31.6,0,
2011,AK,Alaska,Income,"$75,000 or greater",26.9,0,0.0
2012,AK,Alaska,Income,"$75,000 or greater",26.4,0,0.0
2013,AK,Alaska,Income,"$75,000 or greater",27.0,0,0.0
2014,AK,Alaska,Income,"$75,000 or greater",29.3,0,0.0
2015,AK,Alaska,Income,"$75,000 or greater",30.8,0,0.0
2016,AK,Alaska,Income,"$75,000 or greater",30.3,0,0.0
2017,AK,Alaska,Income,"$75,000 or greater",31.8,0,0.0
2018,AK,Alaska,Income,"$75,000 or greater",31.2,0,0.0
2019,AK,Alaska,Income,"$75,000 or greater",29.3,0,0.0
2020,AK,Alaska,Income,"$75,000 or greater",29.6,0,0.0
2021,AK,Alaska,Income,"$75,000 or greater",32.3,0,1.0
2022,AK,Alaska,Income,"$75,000 or greater",34.0,1,
2023,AK,Alaska,Income,"$75,000 or greater",38.9,1,
2024,AK,Alaska,Income,"$75,000 or greater",35.0,1,
2011,AK,Alaska,Income,Data not reported,22.7,0,0.0
2012,AK,Alaska,Income,Data not reported,20.2,0,0.0
2013,AK,Alaska,Income,Data not reported,19.6,0,0.0
2014,AK,Alaska,Income,Data not reported,18.8,0,0.0
2015,AK,Alaska,Income,Data not reported,21.9,0,0.0
2016,AK,Alaska,Income,Data not reported,27.0,0,0.0
2017,AK,Alaska,Income,Data not reported,31.6,0,0.0
2018,AK,Alaska,Income,Data not reported,29.3,0,0.0
2019,AK,Alaska,Income,Data not reported,26.0,0,0.0
2020,AK,Alaska,Income,Data not reported,28.8,0,0.0
2021,AK,Alaska,Income,Data not reported,32.7,0,0.0
2022,AK,Alaska,Income,Data not reported,28.9,0,1.0
2023,AK,Alaska,Income,Data not reported,33.8,1,
2024,AK,Alaska,Income,Data not reported,34.3,1,
2011,AK,Alaska,Income,"Less than $15,000",33.6,1,
2012,AK,Alaska,Income,"Less than $15,000",29.4,0,0.0
2013,AK,Alaska,Income,"Less than $15,000",29.3,0,0.0
2014,AK,Alaska,Income,"Less than $15,000",31.5,0,1.0
2015,AK,Alaska,Income,"Less than $15,000",40.1,1,
2016,AK,Alaska,Income,"Less than $15,000",27.6,0,1.0
2017,AK,Alaska,Income,"Less than $15,000",37.8,1,
2018,AK,Alaska,Income,"Less than $15,000",34.7,1,
2019,AK,Alaska,Income,"Less than $15,000",24.3,0,1.0
2020,AK,Alaska,Income,"Less than $15,000",34.4,1,
2021,AK,Alaska,Income,"Less than $15,000",28.8,0,1.0
2022,AK,Alaska,Income,"Less than $15,000",37.9,1,
2023,AK,Alaska,Income,"Less than $15,000",37.6,1,
2024,AK,Alaska,Income,"Less than $15,000",33.3,0,
2011,AK,Alaska,Race/Ethnicity,2 or more races,23.3,0,0.0
2012,AK,Alaska,Race/Ethnicity,2 or more races,22.4,0,0.0
2013,AK,Alaska,Race/Ethnicity,2 or more races,23.2,0,1.0
2014,AK,Alaska,Race/Ethnicity,2 or more races,34.0,1,
2015,AK,Alaska,Race/Ethnicity,2 or more races,29.1,0,0.0
2016,AK,Alaska,Race/Ethnicity,2 or more races,29.2,0,0.0
2017,AK,Alaska,Race/Ethnicity,2 or more races,28.6,0,0.0
2018,AK,Alaska,Race/Ethnicity,2 or more races,32.7,0,0.0
2019,AK,Alaska,Race/Ethnicity,2 or more races,31.2,0,0.0
2020,AK,Alaska,Race/Ethnicity,2 or more races,29.7,0,1.0
2021,AK,Alaska,Race/Ethnicity,2 or more races,44.4,1,
2022,AK,Alaska,Race/Ethnicity,2 or more races,36.6,1,
2023,AK,Alaska,Race/Ethnicity,2 or more races,35.3,1,
2024,AK,Alaska,Race/Ethnicity,2 or more races,30.7,0,
2011,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,30.9,0,0.0
2012,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,31.9,0,1.0
2013,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,33.6,1,
2014,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,33.8,1,
2015,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,39.1,1,
2016,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,43.1,1,
2017,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,44.0,1,
2018,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,29.1,0,1.0
2019,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,37.3,1,
2020,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,36.0,1,
2021,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,39.1,1,
2022,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,36.2,1,
2023,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,36.8,1,
2024,AK,Alaska,Race/Ethnicity,American Indian/Alaska Native,42.1,1,
2012,AK,Alaska,Race/Ethnicity,Asian,2.3,0,0.0
2013,AK,Alaska,Race/Ethnicity,Asian,30.3,0,0.0
2014,AK,Alaska,Race/Ethnicity,Asian,17.8,0,0.0
2015,AK,Alaska,Race/Ethnicity,Asian,18.5,0,0.0
2018,AK,Alaska,Race/Ethnicity,Asian,28.1,0,0.0
2020,AK,Alaska,Race/Ethnicity,Asian,29.6,0,0.0
2021,AK,Alaska,Race/Ethnicity,Asian,20.7,0,0.0
2022,AK,Alaska,Race/Ethnicity,Asian,24.2,0,0.0
2023,AK,Alaska,Race/Ethnicity,Asian,27.3,0,0.0
2024,AK,Alaska,Race/Ethnicity,Asian,14.6,0,
2011,AK,Alaska,Race/Ethnicity,Hispanic,31.5,0,0.0
2012,AK,Alaska,Race/Ethnicity,Hispanic,21.1,0,0.0
2013,AK,Alaska,Race/Ethnicity,Hispanic,31.7,0,0.0
2014,AK,Alaska,Race/Ethnicity,Hispanic,29.6,0,0.0
2015,AK,Alaska,Race/Ethnicity,Hispanic,24.1,0,0.0
2016,AK,Alaska,Race/Ethnicity,Hispanic,29.9,0,0.0
2017,AK,Alaska,Race/Ethnicity,Hispanic,32.3,0,0.0
2018,AK,Alaska,Race/Ethnicity,Hispanic,26.9,0,1.0
2019,AK,Alaska,Race/Ethnicity,Hispanic,40.6,1,
2020,AK,Alaska,Race/Ethnicity,Hispanic,33.4,0,1.0
2021,AK,Alaska,Race/Ethnicity,Hispanic,39.1,1,
2022,AK,Alaska,Race/Ethnicity,Hispanic,27.1,0,1.0
2023,AK,Alaska,Race/Ethnicity,Hispanic,37.1,1,
2024,AK,Alaska,Race/Ethnicity,Hispanic,43.2,1,
2012,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,39.0,1,
2013,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,39.5,1,
2014,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,42.3,1,
2015,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,39.3,1,
2021,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,37.0,1,
2022,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,33.4,0,1.0
2023,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,46.3,1,
2024,AK,Alaska,Race/Ethnicity,Non-Hispanic Black,36.6,1,
2011,AK,Alaska,Race/Ethnicity,Non-Hispanic White,25.9,0,0.0
2012,AK,Alaska,Race/Ethnicity,Non-Hispanic White,26.0,0,0.0
2013,AK,Alaska,Race/Ethnicity,Non-Hispanic White,26.4,0,0.0
2014,AK,Alaska,Race/Ethnicity,Non-Hispanic White,28.6,0,0.0
2015,AK,Alaska,Race/Ethnicity,Non-Hispanic White,28.1,0,0.0
2016,AK,Alaska,Race/Ethnicity,Non-Hispanic White,29.3,0,0.0
2017,AK,Alaska,Race/Ethnicity,Non-Hispanic White,32.6,0,0.0
2018,AK,Alaska,Race/Ethnicity,Non-Hispanic White,29.2,0,0.0
2019,AK,Alaska,Race/Ethnicity,Non-Hispanic White,28.6,0,0.0
2020,AK,Alaska,Race/Ethnicity,Non-Hispanic White,29.1,0,0.0
2021,AK,Alaska,Race/Ethnicity,Non-Hispanic White,31.4,0,0.0
2022,AK,Alaska,Race/Ethnicity,Non-Hispanic White,31.3,0,1.0
2023,AK,Alaska,Race/Ethnicity,Non-Hispanic White,34.5,1,
2024,AK,Alaska,Race/Ethnicity,Non-Hispanic White,32.8,0,
2011,AK,Alaska,Race/Ethnicity,Other,35.5,1,
2012,AK,Alaska,Race/Ethnicity,Other,21.5,0,0.0
2021,AK,Alaska,Race/Ethnicity,Other,31.2,0,1.0
2024,AK,Alaska,Race/Ethnicity,Other,40.1,1,
2011,AK,Alaska,Sex,Female,26.7,0,0.0
2012,AK,Alaska,Sex,Female,25.4,0,0.0
2013,AK,Alaska,Sex,Female,27.5,0,0.0
2014,AK,Alaska,Sex,Female,30.2,0,0.0
2015,AK,Alaska,Sex,Female,30.5,0,0.0
2016,AK,Alaska,Sex,Female,30.3,0,1.0
2017,AK,Alaska,Sex,Female,36.1,1,
2018,AK,Alaska,Sex,Female,28.5,0,0.0
2019,AK,Alaska,Sex,Female,30.6,0,0.0
2020,AK,Alaska,Sex,Female,29.6,0,1.0
2021,AK,Alaska,Sex,Female,34.9,1,
2022,AK,Alaska,Sex,Female,33.3,0,1.0
2023,AK,Alaska,Sex,Female,34.3,1,
2024,AK,Alaska,Sex,Female,34.4,1,
2011,AK,Alaska,Sex,Male,28.0,0,0.0
2012,AK,Alaska,Sex,Male,25.9,0,0.0
2013,AK,Alaska,Sex,Male,29.2,0,0.0
2014,AK,Alaska,Sex,Male,29.3,0,0.0
2015,AK,Alaska,Sex,Male,29.3,0,0.0
2016,AK,Alaska,Sex,Male,32.3,0,0.0
2017,AK,Alaska,Sex,Male,32.6,0,0.0
2018,AK,Alaska,Sex,Male,29.9,0,0.0
2019,AK,Alaska,Sex,Male,30.5,0,1.0
2020,AK,Alaska,Sex,Male,33.8,1,
2021,AK,Alaska,Sex,Male,32.3,0,0.0
2022,AK,Alaska,Sex,Male,31.2,0,1.0
2023,AK,Alaska,Sex,Male,35.9,1,
2024,AK,Alaska,Sex,Male,33.7,1,
2011,AK,Alaska,Total,Total,27.4,0,0.0
2012,AK,Alaska,Total,Total,25.7,0,0.0
2013,AK,Alaska,Total,Total,28.4,0,0.0
2014,AK,Alaska,Total,Total,29.7,0,0.0
2015,AK,Alaska,Total,Total,29.8,0,0.0
2016,AK,Alaska,Total,Total,31.4,0,1.0
2017,AK,Alaska,Total,Total,34.2,1,
2018,AK,Alaska,Total,Total,29.5,0,0.0
2019,AK,Alaska,Total,Total,30.5,0,0.0
2020,AK,Alaska,Total,Total,31.9,0,0.0
2021,AK,Alaska,Total,Total,33.5,0,0.0
2022,AK,Alaska,Total,Total,32.1,0,1.0
2023,AK,Alaska,Total,Total,35.2,1,
2024,AK,Alaska,Total,Total,34.0,1,
2011,AL,Alabama,Age (years),18 - 24,16.3,0,0.0
2012,AL,Alabama,Age (years),18 - 24,23.9,0,0.0
2013,AL,Alabama,Age (years),18 - 24,19.0,0,0.0
2014,AL,Alabama,Age (years),18 - 24,20.4,0,0.0
2015,AL,Alabama,Age (years),18 - 24,25.1,0,0.0
2016,AL,Alabama,Age (years),18 - 24,22.6,0,0.0
2017,AL,Alabama,Age (years),18 - 24,20.7,0,0.0
2018,AL,Alabama,Age (years),18 - 24,19.3,0,0.0
2019,AL,Alabama,Age (years),18 - 24,24.6,0,0.0
2020,AL,Alabama,Age (years),18 - 24,27.1,0,0.0
2021,AL,Alabama,Age (years),18 - 24,25.4,0,0.0
2022,AL,Alabama,Age (years),18 - 24,19.8,0,0.0
2023,AL,Alabama,Age (years),18 - 24,26.1,0,0.0
2024,AL,Alabama,Age (years),18 - 24,29.2,0,
2011,AL,Alabama,Age (years),25 - 34,35.2,1,
2012,AL,Alabama,Age (years),25 - 34,31.3,0,0.0
2013,AL,Alabama,Age (years),25 - 34,30.4,0,0.0
2014,AL,Alabama,Age (years),25 - 34,31.7,0,1.0
2015,AL,Alabama,Age (years),25 - 34,35.2,1,
2016,AL,Alabama,Age (years),25 - 34,33.5,0,1.0
2017,AL,Alabama,Age (years),25 - 34,36.3,1,
2018,AL,Alabama,Age (years),25 - 34,38.1,1,
2019,AL,Alabama,Age (years),25 - 34,36.4,1,
2020,AL,Alabama,Age (years),25 - 34,37.5,1,
2021,AL,Alabama,Age (years),25 - 34,46.6,1,
2022,AL,Alabama,Age (years),25 - 34,37.4,1,
2023,AL,Alabama,Age (years),25 - 34,39.5,1,
2024,AL,Alabama,Age (years),25 - 34,43.7,1,
2011,AL,Alabama,Age (years),35 - 44,35.5,1,
2012,AL,Alabama,Age (years),35 - 44,34.1,1,
2013,AL,Alabama,Age (years),35 - 44,36.7,1,
2014,AL,Alabama,Age (years),35 - 44,40.9,1,
2015,AL,Alabama,Age (years),35 - 44,41.1,1,
2016,AL,Alabama,Age (years),35 - 44,43.0,1,
2017,AL,Alabama,Age (years),35 - 44,42.2,1,
2018,AL,Alabama,Age (years),35 - 44,42.0,1,
2019,AL,Alabama,Age (years),35 - 44,40.3,1,
2020,AL,Alabama,Age (years),35 - 44,43.6,1,
2021,AL,Alabama,Age (years),35 - 44,45.8,1,
2022,AL,Alabama,Age (years),35 - 44,43.2,1,
2023,AL,Alabama,Age (years),35 - 44,45.3,1,
2024,AL,Alabama,Age (years),35 - 44,41.8,1,
2011,AL,Alabama,Age (years),45 - 54,38.0,1,
2012,AL,Alabama,Age (years),45 - 54,39.7,1,
2013,AL,Alabama,Age (years),45 - 54,40.0,1,
2014,AL,Alabama,Age (years),45 - 54,39.9,1,
2015,AL,Alabama,Age (years),45 - 54,40.6,1,
2016,AL,Alabama,Age (years),45 - 54,43.5,1,
2017,AL,Alabama,Age (years),45 - 54,47.1,1,
2018,AL,Alabama,Age (years),45 - 54,39.8,1,
2019,AL,Alabama,Age (years),45 - 54,41.5,1,
2020,AL,Alabama,Age (years),45 - 54,48.0,1,
2021,AL,Alabama,Age (years),45 - 54,46.4,1,
2022,AL,Alabama,Age (years),45 - 54,48.1,1,
2023,AL,Alabama,Age (years),45 - 54,44.6,1,
2024,AL,Alabama,Age (years),45 - 54,47.7,1,
2011,AL,Alabama,Age (years),55 - 64,36.4,1,
2012,AL,Alabama,Age (years),55 - 64,40.3,1,
2013,AL,Alabama,Age (years),55 - 64,37.1,1,
2014,AL,Alabama,Age (years),55 - 64,37.4,1,
2015,AL,Alabama,Age (years),55 - 64,40.3,1,
2016,AL,Alabama,Age (years),55 - 64,40.7,1,
2017,AL,Alabama,Age (years),55 - 64,41.2,1,
2018,AL,Alabama,Age (years),55 - 64,43.7,1,
2019,AL,Alabama,Age (years),55 - 64,41.2,1,
2020,AL,Alabama,Age (years),55 - 64,42.0,1,
2021,AL,Alabama,Age (years),55 - 64,44.4,1,
2022,AL,Alabama,Age (years),55 - 64,41.6,1,
2023,AL,Alabama,Age (years),55 - 64,46.8,1,
2024,AL,Alabama,Age (years),55 - 64,39.8,1,
2011,AL,Alabama,Age (years),65 or older,27.1,0,0.0
2012,AL,Alabama,Age (years),65 or older,26.9,0,0.0
2013,AL,Alabama,Age (years),65 or older,28.4,0,0.0
2014,AL,Alabama,Age (years),65 or older,28.9,0,0.0
2015,AL,Alabama,Age (years),65 or older,30.2,0,0.0
2016,AL,Alabama,Age (years),65 or older,29.6,0,0.0
2017,AL,Alabama,Age (years),65 or older,29.0,0,0.0
2018,AL,Alabama,Age (years),65 or older,31.8,0,0.0
2019,AL,Alabama,Age (years),65 or older,31.3,0,1.0
